id,content
DD-11,Client registers for flight route events A client shall register with the _UIMiddleware_ to receive flight route event notifications whenever a flight route is created modified or deleted.
DD-19,Client registers for UAV configuration event A client shall register with the _UIMiddleware_ to receive notifications whenever a new UAV type configuration is created modified or deleted.
DD-21,Client registers for UAV activation events A client shall register with the _UIMiddleware_ to receive notifications whenever UAV instances are activated or deactivated.
DD-23,Coordinate Specification All waypoints shall be specified using degrees longitude and latitude using Decimal Degrees format (e.g. 38.6556758 -77.7872153)
DD-26,Activation state is ON_GROUND When a UAV is initially activated on the ground it is in the {{ON_GROUND}} state
DD-30,Transition from ON_GROUND to AWAITING_TAKEOFF_CLEARANCE When a flight plan is assigned to a UAV in the {{ON_GROUND}} state it transitions to the {{AWAITING_TAKEOFF_CLEARANCE}} state.
DD-32,Transition from TAKING_OFF to FLYING When a UAV in the TAKING_OFF state achieves the target altitude it transitions to FLYING state.
DD-75,Upload externally created flight route Flight routes shall be created externally and uploaded to Dronology via the UI middleware.
DD-84,Default sequencing of UAV's flight plans By default the pending flight plansof a UAV's shall be serviced in FCFS order.
DD-87,Remove flight plan from queue A flight plan shall be unassigned from a UAV by removing it from the UAV's flight plan queue.
DD-113,Display state of activated UAVs The name state battery level speed and current coordinates of each UAV shall be displayed.
DD-118,Load saved map scale When loading the map it shall be scaled as specified in the configuration.
DD-121,Update UAV location frequency The UAV location shall be updated on the map at the currently defined {{UI_UAV_REFRESH_RATE}}
DD-168,Display a list of existing routes Upon loading the UI requests all existing routes from the _UIMiddleware_. Once the _UIMiddleware_ respond to the request the UI displays all existing routes
DD-213,Log all GCS related events All commands sent to and messages received from a _CGC_ shall be logged to a dedicated GCS log file
DD-352,Transmit new route assignments to UI Middleware When routes are assigned to a UAV a request shall be sent to the _UIMiddleware_ to update the assignment in Dronology.
DD-361,GCS connection to GCS Middleware In step one the _GCS_ announces itself to the _GCSMiddleware_ providing its unique ID.
DD-421,Change color for the first and the last waypoint Waypoints in a flight route shall be colored so as to differentiate between the starting waypoint ending waypoint and all remaining intermediate waypoints.
DD-445,Monitoring API The _DronologyRuntimeMonitor_ shall allow to publish arbitrary monitoring messages and subscribe to certain message types
DD-498,Mission Planning supports synchronized waits When a UAV is executing flight plans and reaches a synchronization point which is followed by a delay task it shall wait to proceed until the delay specified in seconds is expired
DD-502,Specify flight route in standard format Flight routes shall be specified in the standard XML_FlightRoute format.
DD-506,Save flight route When a flight route is uploaded to Dronology the _FlightRouteManager_ shall save it under a unique name as an xml file.
DD-509,Takeoff Altitude Tag The flight route xml format includes an optional takeoff altitude tag
DD-512,Coordinate system conversion to n-vector When requested the _CoordinateSystem_ shall transform coordinates transformed from the default representation to n-vectors.
