id,content
AccessDAO,"AccessDAO handles all queries related to authorization. It implements the Database Access Object (DAO) pattern, with one DAO per database table. DAOs assume validated data and access the database through a DAOFactory. This AccessDAO contains methods to get and set the session timeout in minutes by querying and updating the GlobalVariables table."
AddApptAction,"This class allows adding appointments to the system. It validates the appointment details, checks if the date has already passed, schedules the appointment in the database, logs the transaction, and returns a success or error message. It utilizes DAO classes to interact with the database and retrieve user names from their medical ID."
AddERespAction,"Used for Add Personnel page (addPersonnel.jsp). This just adds an empty HCP/UAP, creates a random  
password for them. Very similar to AddOfficeVisitAction and AddPatientAction."
AddHCPAction,"Used for Add Personnel page (addPersonnel.jsp). This adds a new HCP/UAP user to the system by creating an empty personnel record, generating a random password for the new user, and logging the transaction. It is similar to other ""add"" actions for adding office visits and patients."
AddOfficeVisitAction,"Used for Document Office Visit page (documentOfficeVisit.jsp). This class adds an empty office visit,  
and provides a list of all office visits so that an old office visit can be edited. 
It is similar to the AddPatientAction class."
AddPHAAction,"Used for Add Personnel page (addPersonnel.jsp). This adds an empty PHA, creates a random  
password for them. Similar to other add actions like AddOfficeVisitAction and AddPatientAction."
AddPatientAction,"Used for Add Patient page (addPatient.jsp). This adds a new patient record, creates a random password for that patient, and logs the transaction. It is similar to the AddOfficeVisitAction class."
AddPatientValidator,"This validator class is used to validate a PatientBean object when adding a new patient. It only validates the patient's first name, last name, and email by checking they match the expected name and email formats. If any validation fails, a FormValidationException is thrown."
AddPersonnelValidator,"This validator class is used to validate personnel data when adding a new personnel record. It validates the first name, last name and email fields, checking the format and throwing an exception if any of the fields are invalid."
AddRemoteMonitoringDataAction,"Handles adding remote monitoring patient data to the database. This class contains methods for adding blood pressure, glucose level, or both to the database for a patient. Validation is performed before storing the data and a transaction is logged with the patient's role before writing to the database."
AddUAPAction,"Used for Add Personnel page (addPersonnel.jsp). This adds an empty HCP/UAP, creates a random  
password for them. Similar to other actions for adding office visits and patients."
AdverseEventBean,"This class stores data about adverse events related to drugs. It contains fields for storing information like the patient ID, drug name, event description, event code, date, status and prescriber. It only contains getter and setter methods to access and set the field values."
AdverseEventBeanLoader,"This class loads AdverseEventBean objects from a database using JDBC ResultSets and PreparedStatements. It implements the BeanLoader interface to enforce consistency. The loadList() method loads a list of AdverseEventBeans from a ResultSet, while loadSingle() loads a single AdverseEventBean. loadParameters() is not implemented."
AdverseEventDAO,"Used for the logging mechanism. The AdverseEventDAO class interacts with the database to perform operations related to adverse event reports. It obtains a database connection from the DAOFactory and uses that to execute SQL queries and updates. Various methods are provided to get reports, add reports, remove reports, and get data by code."
AdverseEventValidator,Validates an AdverseEventBean by checking the format of the description field and throwing a FormValidationException if validation fails.
AdverseEventsData,This class handles the data for charting in CeWolf/JFreeChart. It generates a dataset from a list of AdverseEventBeans to produce bar charts showing the number of adverse events reported each month for a given prescription or immunization.
AgeFactor,"This code calculates a risk factor based on a patient's age. Given a patient object and an age threshold, it determines if the patient's age exceeds that threshold, and returns a description of the risk factor."
AllergyBean,"This class stores data about a patient's allergies. It contains fields for the allergy ID, patient ID, allergy description, and date the allergy was first found. It only contains getter and setter methods to access and set the field values, following the bean design pattern of encapsulating data."
AllergyBeanLoader,* A loader for AllergyBeans. Loads in allergy information from a database and populates AllergyBean objects.
AllergyBeanValidator,"This validator class is used to validate an AllergyBean when adding a new allergy in the EditOfficeVisitAction. It throws a FormValidationException if validation fails, containing a list of error messages. It validates the allergy description field by checking its format."
AllergyDAO,"This code represents a DAO (Database Access Object) for accessing allergy data from a database. The AllergyDAO class uses a DAOFactory to obtain database connections and other DAOs. It provides methods to get all allergies for a patient, and to add a new allergy for a patient."
ApptBean,"This class represents an appointment, containing information like the appointment type, patient and healthcare provider IDs, date and time, and any comments. The getters and setters allow other parts of the system to retrieve and update the appointment details."
ApptBeanLoader,"This class is used to load ApptBean objects from a database ResultSet. The loadList method loads a list of ApptBean objects from a ResultSet, the loadParameters method populates a PreparedStatement with parameters for an ApptBean, and the loadSingle method loads a single ApptBean from a ResultSet."
ApptBeanValidator,"This code implements a validator for ApptBean objects. It checks that the comment field follows the APPT_COMMENT format and throws a FormValidationException if there are any errors, which collects the error messages in an ErrorList. This validation would likely be used when an ApptBean is created or updated to ensure data integrity."
ApptDAO,"This class provides methods to retrieve and schedule appointment data from a database. It uses a DAOFactory to obtain database connections. It has methods to:
- Get all appointments for a given patient ID or doctor ID, ordered by schedule date  
- Get all appointments  
- Schedule a new appointment by inserting a record into the 'appointment' table"
ApptTypeBean,This class defines an appointment type with a name and duration in minutes. It provides getters and setters to access and update those properties. The class is used to represent and configure different appointment types in the system.
ApptTypeBeanLoader,"This code loads ApptTypeBean objects from a database. It defines methods to load a list of ApptTypeBean objects from a ResultSet, set parameters on a PreparedStatement for inserting an ApptTypeBean, and load a single ApptTypeBean from a ResultSet."
ApptTypeBeanValidator,"This code performs validation on ApptTypeBean objects, checking that the name field follows the APPT_TYPE_NAME format, the duration field follows the APPT_TYPE_DURATION format, and throws a FormValidationException if any errors are found."
ApptTypeDAO,"This class provides data access functionality for managing appointment types. It allows retrieving a list of appointment types from the database, adding a new appointment type, and editing an existing appointment type."
AuthDAO,"This class provides database access functionality for authentication and user management. It contains methods for adding new users, resetting passwords, retrieving user information, and tracking failed login attempts."
BeanBuilder,Takes a parameter map and creates a bean from that map of the appropriate type. The method inspects the parameter map and uses reflection to set properties on the bean instance using setters. It handles exceptions and provides more informative error messages.
BeanLoader,"This interface defines a standard for loading beans from a database result set. The BeanLoader interface uses a generic type T to represent the type of bean that will be loaded. It contains methods for loading a list of beans from a result set, loading a single bean from a result set, and loading parameters from a bean into a prepared statement."
BeanValidator,"This abstract class provides utility methods for validating different types of fields. It is meant to be extended by concrete validator classes that validate specific beans. The validate() method validates a bean of type T and throws an exception if invalid.

The utility methods check various types of fields - strings, numbers, enums - against formats and ranges. They return an error message if invalid, and an empty string if valid."
BloodType,This enum defines all possible blood types and provides utility methods to parse a blood type string to the corresponding enum value.
CPTCodesDAO,"Used for managing CPT codes. DAO stands for Database Access Object. All DAOs are intended to be reflections of the database, that is, one DAO per table in the database (most of the time). DAOs can assume that all data has been validated and is correct. The CPT code set accurately describes medical, surgical, and diagnostic services and is designed to communicate uniform information about medical services and procedures among physicians, coders, patients, accreditation organizations, and payers for administrative, financial, and analytical purposes."
ChangeSessionTimeoutAction,"This class is used to change the session timeout value stored in the database. It allows an administrator to pass in a new timeout value in minutes, validates that value, and persists the change to the database. The change only affects new sessions, existing sessions will continue with their original timeout value."
ChildhoodInfectionFactor,Checks if the patient had certain diagnoses during childhood that would increase their risk for a disease. It is part of a system that calculates patient risk factors.
CholesterolFactor,"This code checks if a patient's cholesterol levels are above certain thresholds based on their health record, indicating a risk factor. It extends an abstract PatientRiskFactor class to represent the cholesterol risk factor."
ChronicDiseaseMediator,"This class coordinates checking for risks of chronic diseases. Given a factory and patient ID, it initializes a list of risk checkers for heart disease, type 1 diabetes and type 2 diabetes. It then returns a list of risk checkers that indicate the patient is at risk."
ChronicDiseaseRiskAction,This code handles checking a patient's risk for chronic diseases. It passes most of the logic to the ChronicDiseaseMediator class and RiskChecker subclasses. The ChronicDiseaseRiskAction class handles retrieving the patient's information and passing it to the mediator to check for risks.
DAOFactory,The central mediator for all Database Access Objects. It provides connections to the database and instantiates DAOs for different database tables. A production instance is used in deployment and connects to the database connection pool provided by Tomcat. A test instance parses a context.xml file to get the JDBC connection. It also instantiates DAOs for all tables in the system.
DBException,This code defines a custom DBException that is thrown when a database exception occurs. It wraps the SQLException in order to provide a generic error message to the user while still retaining the SQLException for debugging purposes internally.
DBUtil,"Provides a few database utilties. The code contains methods to check database connectivity, close database connections, and retrieve the last generated auto-increment ID."
DateUtil,"Provides a few extra date utilities. Provides methods to calculate dates a certain number of years or days ago, check if a date falls within a range of months, and set SQL date objects to a specified range."
DeclareHCPAction,"Used by the patient to declare HCPs as ""designated"", allowing them access to patient records. Retrieves a list of declared HCPs, declares or undeclares an HCP based on their MID, and logs the transaction."
DiagnosisBean,"This class represents a bean for storing data about a diagnosis. A bean's purpose is to simply store data and contain getters and setters. The bean stores an ICD code, description, classification, and optional visit ID."
DiagnosisBeanLoader,"This class loads DiagnosisBean objects from a database using JDBC ResultSets and PreparedStatements. It enforces consistency by extending the BeanLoader superclass. The loadList() method loads a list of DiagnosisBeans from a ResultSet, while loadSingle() loads a single DiagnosisBean. An optional boolean flag determines whether to load an OVDiagnosisID field from the database."
DiagnosisBeanValidator,"This code validates an ICD9CM diagnosis code and description. It extends a generic BeanValidator class to validate DiagnosisBean objects. It overrides the validate() method to perform the specific validation for DiagnosisBean, which includes checking that the ICD9CM code field follows the ICD9CM format and the description field follows the description format. If any validation errors are found, a FormValidationException is thrown."
DrugInteractionAction,"Used by EditDrugInteraction.jsp to edit and get information about drug interactions. Allows reporting new interactions, deleting existing interactions, and retrieving interactions for a given drug."
DrugInteractionBean,"This class stores data about potential drug interactions between two drugs, including the names of the drugs and a description of the interaction. It follows bean design principles, containing only getters and setters to access the data fields."
DrugInteractionBeanLoader,"This class loads DrugInteractionBean objects from a database using ResultSet and PreparedStatement objects. It implements the BeanLoader interface to enforce consistency with other similar loaders. The loadList method loads a list of beans from a ResultSet, the loadSingle method loads a single bean, and the loadParameters method prepares a PreparedStatement with parameters from a bean."
DrugInteractionDAO,"Used for managing drug interactions. DAO stands for Database Access Object. All DAOs are intended to be reflections of the database, that is, one DAO per table in the database (most of the time). DAOs can assume that all data has been validated and is correct."
DrugInteractionValidator,"Validates a DrugInteractionBean object. Checks that the first drug, second drug and description fields are in the correct format and throws a FormValidationException if any validation fails."
EMailValidator,"This class validates MessageBean objects by checking that the 'body' field contains a valid email address. If validation fails, a FormValidationException is thrown containing a list of errors."
EditApptTypeAction,"This code allows editing appointment types. It provides methods to get all appointment types, add a new appointment type, edit an existing appointment type, and get the duration of an appointment type by name. When adding or editing an appointment type, it performs validation, checks for duplicates, and logs a transaction."
EditHealthHistoryAction,"This code edits the health history of a patient. It performs the following high-level tasks:

- Validates patient ID 
- Retrieves DAOs to interact with the database
- Validates health record form data 
- Adds a new health record to the database  
- Retrieves all existing health records for a patient
- Logs transactions"
EditMonitoringListAction,"This class handles adding and removing patients from a healthcare provider's (HCP) remote monitoring list. It contains methods for adding a patient, removing a patient, checking if a patient is already on the list, and retrieving a patient's name. When changes are made, transactions are logged."
EditOfficeVisitAction,"This code handles editing office visits of a patient by adding or removing diagnoses, procedures, immunizations, lab procedures, and prescriptions. It also updates visit details and performs validation checks before saving changes."
EditOfficeVisitForm,"This form class contains data for editing an existing office visit. It acts as a container for various fields related to an office visit, including IDs for procedures, diagnoses, medications, immunizations, and notes. Getter and setter methods are defined for each field to allow external classes to access and modify the form data."
EditOfficeVisitValidator,"Used to validate updating an office visit, by {@link EditOfficeVisitAction}
Validates fields on an {@link EditOfficeVisitForm} to update an office visit. It checks format and required fields depending on whether prescription validation is enabled. If validation fails, a {@link FormValidationException} is thrown."
