target,source,label
UC3E1,ResetPasswordAction,1
UC3E1,AuthDAO,1
UC3E1,AuthDAO,1
UC3E1,ResetPasswordAction,1
UC5S1,TransactionDAO,1
UC18S2,UpdateHospitalListAction,1
UC18S2,UpdateHospitalListAction,1
UC18S2,HospitalsDAO,1
UC23S3,ViewMyReportRequestsAction,1
UC23S3,ViewMyRecordsAction,1
UC23S3,ViewMyRecordsAction,1
UC23S3,ViewMyRecordsAction,1
UC23S3,ViewMyRecordsAction,1
UC23S3,ViewMyRecordsAction,1
UC23S3,ViewMyRecordsAction,1
UC23S3,ViewMyRecordsAction,1
UC23S3,ViewReportAction,1
UC23S3,ViewReportAction,1
UC23S3,ViewReportAction,1
UC23S3,ViewReportAction,1
UC23S3,ReportRequestDAO,1
UC23S3,PatientDAO,1
UC23S3,OfficeVisitDAO,1
UC23S3,HealthRecordsDAO,1
UC23S3,AllergyDAO,1
UC23S3,PatientDAO,1
UC23S3,PatientDAO,1
UC23S3,FamilyDAO,1
UC23S3,FamilyDAO,1
UC23S3,FamilyDAO,1
UC23S3,PatientDAO,1
UC23S3,PatientDAO,1
UC23S3,PatientDAO,1
UC23S3,PatientDAO,1
UC27S1,ResetPasswordAction,1
UC27S1,EmailUtil,1
